"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-24,2026-08-30,"DPA | Protex1 Range | Tradie",active,,,,"Using campaign budget",0,5.02,26,23,1.130435,193.076923,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shorts | Waiting on manager",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Hi Vis | Affordability For Whole Crew",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Hi-Vis Certification | Breathable Workwear",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shorts | Waiting on manager – Copy",active,,,,"Using campaign budget",0,3.46,36,31,1.16129,96.111111,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,1,2.777778,1.73,18,1,,,5
2026-08-24,2026-08-30,"Trousers | Durable, functional",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Protex1 | Soft Shell Jacket |",active,2,actions:offsite_conversion.fb_pixel_purchase,184.645,"Using campaign budget",0,369.29,5095,3030,1.681518,72.480864,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",2.942863,2,1086.77,action_values:offsite_conversion.fb_pixel_purchase,99,1.943081,2.95432,101,95,14,3,
2026-08-24,2026-08-30,"DPA | Safety Footwear | Delivery Driver",active,,,,"Using campaign budget",0,0.5,6,6,1,83.333333,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shirt | Does the job all year round",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Protex1 Kit | USP Breakdown",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Jacket | Video 2",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
